short_question,short_answer,tags,label
i smoked cigs for 1 month averaging about 3 a day just wondering if any irreversible was done i did quit since then i started smoking for a month after a period of depression a couple of months ago 2 3 cigs most days with a couple more on bad days i would estimate i probably had 4 packs total over the period i went cold turkey as i started to get my life together and hated the ill feeling from them i exercise regularly and eat healthy and i am still young i would just like to clear my head and hear that i did no damage permanent to my lungs i know it takes a bit to recover hopefully to 100,signs and symptoms of tobacco related diseases often depend on the specific illnesses they cause there are many other symptoms of tobacco related diseases and these listed here are simply examples  shortness of breath may be a sign of emphysema or heart disease chest pain may signal angina pectoriscaused by insufficient blood flow to the heart or a heart attack difficulty swallowing or persistent hoarseness may signal a cancer in the mouth or larynx painless bloody urination may signal bladder cancer the presence of any of the following common symptoms associated with tobacco use should prompt a visit to the doctor or hospital is emergency department chest pain shortness of breath persistent cough coughing up blood frequent colds and upper respiratory infections persistent hoarseness difficulty or pain on swallowing change in exercise capacity sudden weakness on one side of the face or body or difficulty speaking leg pain while walking that goes away when at rest unexplained weight loss persistent abdominal pain blood in the urine,['head' 'lung' 'coldness' 'exercise' 'healthy eating'],1.0
i have persistent headache and i feel like i have lowgrade fever help  hi so i am a headache everyday it is not too bad though it is completely bearable but a little distracting and i have noticed that i have lowgrade fever most of the time or mostly everyday but just like the headache it is bearable i can not just shrug this feeling off this have been occurring for two or three months now i am hopefully going to the doctor in a few days and get myself checked,for many years i suffered from terrible headaches only when i slept did it go away i found out that there is a shortage of progestorone in my body after starting with treatment it dissappears maybe you can start with testing all your hormones,['headache' 'fever'],1.0
pain ring finger to the middle of arm before elbow for 45 days started after i held on to stop falling worse on lifting its not bad3 on 10 earlier it was more painful but now it does not hurt as much unless i type or write i have barely used my right hand for anything for the past month else the pain increases it starts hurting at one point about five fingers from my wrist but pain goes away completely if i press down on it it also hurts in the area below middle to pinkie i got an xray done already so nothing there shd i get an mri if so only for wrist or forearm also or shd anti inflammatories be enough thanks,your first and most important step is to get an accurate diagnosis which is based on examination findings you may need to see an orthopedist for a higher level examination if the orthopedist feels that you would need imaging studies then so be it but right now getting an mri may be premature anti inflammatory medications can definitiely help but again having a definitive diagnosis is critical so get a referral to a specialist,['pain' 'ring finger' 'finger' 'arm' 'elbow'],1.0
where can i go for help for bipolar disorder,it does seem to be an std can be anything else other than herpes too start on antibiotics immediately apply local creams take anti pyretic tablets to reduce the inflammation,['bipolar disorder'],-1.0
does prozac cause weight gain what about zoloft,com this could be a chronic daily headache that is mostly caused by neck muscles injury or tiredness…or a cervical vertebrae problem this may be accompanied with dizziness blurring vision i recommend doing hot packs on neck muscles for some days and getting some rest… if it does not go away then we can start doing mri or ct brain…,['weight gain'],-1.0
what are the ingredients inibuprofen  i take a 600mg ibuprofen only as needed for nerve pain my question is what ingredients are in this medication i have a legal prescription for it,ibuprofen is the ingredient the only ingredient a 200 mg tablet of ibuprofen is available over the counter without a prescription but a 600 mg or 800 mg tablet requires a prescription,['ibuprofen' 'nerve' 'pain'],1.0
why am i hearing my heartbeat in my right ear  just recently i have started hearing my heartbeat in my right ear this came on suddenly i am a 66 year old female with no particular health issues what could be the cause of this anything to worry about,hi these symptoms may be due to the effect of the hormonal pills that you have been taking this can damage your gut mucosa to some extent you should consult a gastroenterologist and get a abdominal scan done having fever and diarrhoea is indicative of a gut infection and should be treated by appropriate antibiotics,['ears'],-1.0
what weighs more muscle or fat  im just wondering about weight gain due to muscle growth my wife has been working out for some time with weights and cardio training but she is finding that her weight has been fluctuating and at times gains weight a little bit,a pound of fat and a pound of muscle weigh the same the difference is that a pound of muscle is denser and therefore takes up much less surface area than fat if you were to look at five pounds of muscle and five pounds of fat the fat would take up much more volume it is possible for you to lose fat and gain muscle without a change in body weight because you are building muscle through exercising sometimes your body fat percentage can be a better indicator than the number on the scale and you can get this tested by a medical professional weight can fluctuate slightly based on several factors here are some links that you may find helpful to share with your wife webmd fitness & exercise guide can you gain muscle & lose fat at the same time fitness & exercise community with rich weil cde med why do you gain back weight diet community with pam peeke md the webmd answers staff muscle weighs more than fat,['muscle' 'weight' 'weight gain'],1.0
okay so i am 16 and i want to grow about 3 more inches if i smoke hookah once or twice will i grow to my goal height,this is not a result of obamacare with the exception of vaccines for influenza pneumonia and hepatitis b vaccines are generally covered by medicare prescription drug plans details of the coverage can vary depending on the plan you have you should contact your medicare drug plan for more information about coverage,['smoking' 'height'],-1.0
what is the treatment for the common cold,so sorry to hear you are going through this congestion in the ears is not only annoying it can become painful if it does not clear up quickly one thing you can try is an over the counter decongestant medication decongestants basically work by drying up excess fluid whether the fluid is located in the ears nose or wherever note that a decongestant is not the same as an allergy pill be sure to read the label carefully for dosing instructions a pharmacist can help you choose a product and explain how to take it if you develop a fever congestion fluid build up in your chest or a productive cough meaning you are coughing up mucus you would do well to see your health care provider these can be symptoms of something other than a common cold also the symptoms of a common cold should clear up within a week or so and do not forget to drink plenty of fluids especially plain water water can help keep those secretions body fluids thin which makes them easier to eliminate by sneezing or coughing best wishes to you,['cold' 'coldness'],-1.0
can you be allergic to mold in your food,a person can have an allergic reaction to just about anything so that would include food or molds,['mold' 'food'],1.0
can herpes be spread by bed bugs if a person infected with herpes is bitten by a bed bug can another person bitten by the same bug get infected with herpes,hi look your now stressing your self out over this if you carry on your just go raving mad stop relax if its not happened sinse the time to sleep and take a break but do have sex this will help calm you down if need be do it twice or your wifegf will think you have gone off her but did you think that perhaps this pain was just a strain it can happen at the most odd times lifting heavy moving something form the wrong angle or even tripping over its takes about 2 weeks to go away slowly but do de stress yourself google natural ways out of stress good luck,['herpes'],-1.0
i have heavy pain in both side of my head that causes dizziness sometimes in my back and neck,hi cervical spondylosis and nerve compression seems to be most probable cause consult a neurophysician and get evaluated and an mri scan can help in diagnosis and treatment can be done accordingly medication and physiotherapy can help once exact cause is ruled out hope this helps,['i have heavy pain in both side of my head'],1.0
can i sit in a sauna and steam room with a broken ankle,not if you are in a cast it would become so stinky that you could not stand the smell and the humidity has the potential of fostering a very itchy and irritating fungal infection if you do not have any medical issues that would preclude you from using a sauna or steam room and you are in a boot instead of a cast hobble or hop in carefully do not slip or fall consider leaving the boot outside the room and enjoy there are no reasons a person with a broken ankle cannot have a sauna or steam,['ankle'],1.0
how effective are foam and male condoms in preventing pregnancy,the short answer is no most medications if they are contributing to hair loss will cause a shedding process breakage is more commonly due to excessive and repeated chemical or physical trauma to the hair,['pregnancy' 'condom'],-1.0
can newborn babies be born addicted to prednisone if the mom took it for asthma in the last trimester,no prednisone is not addictive nor does it remain in the body for very long in carefully prescribed doses when treating asthma it would not hurt the baby,['newborn' 'baby' 'asthma'],1.0
what is black measles when i was young i had them now in my fifties i have a lot of health problems could it be because of them and what damage do they do to your body i know they have not been heard of in god know how long is there any way to know after all of these years after having them to get information on them,i have been in medicine for over 40 years and have never heard of the term black measles but there is a lay term for rubeola the medical name for true measles called the red measles and of course there is german measles rubella,['measles'],1.0
my husband is taking 40 mg of prozac and is really depressed and has thought of suicide what do we do,i would recommend voicing these concerns to his doctor or health care provider we are learning that therapy has to be individualized and that therapy may have to be changed to find the right fit is he also seeing a psychologist there have been some recent studies that have shown that therapy and medication are very beneficial to patients with depression i would also like to know if he is taking his medication every day    this is very important so he builds consistent blood levels of the medication help is available and if you need additional guidance talk to your pharmacist,['suicide'],1.0
is erythema multiforme an autoimmune disorder,erythema multiforme is considered a hypersensitivity disorder not an autoimmune disorder <link>,[''],1.0
why would a rn choose not to get her kids a flu shot as the grandparent is there anything i can do,you would just have to ask the rn for her rationale many people reject vaccines for a variety of reasons    some valid and some ridiculous if these are her children then she has the right not to vaccinate or decide which vaccinations her children receive the flu vaccine is optional as far as schools are concerned but not optional in my book i am very pro vaccine but i do allow the parents the right to refuse they do have to hear my lecture however but in the end the decision is theirs as a grandmother    and i am a grandparent too    we have memories of those days before vaccinations some new parents have never seen the diseases that ravaged our generation did she give you any specific reason if it is a time issue maybe you can volunteer to take your grandchildren to a nearby pharmacy or health department to get the shots or is she worried about its safety would it help to give her some stats from the cdc on vaccine safety and flu here is something that may help <link> there are myths that persist about flu shots my mother refuses to get one because she thinks it will give her the flu and no amount of discussion from me will convince her otherwise remember that kids especially those under 5 are more susceptible to the flu so it is great that you are trying to talk to her about this remember that ultimately it is her decision as the parent and good luck with your presuasion skills,['flu'],1.0
i have been taking propranolol for the chest pains now have headaches and pain on left side of head and body,if you are having a neck pain and headache this is probably something wrong with your cervical spines or muscles causing the headachecommon or migraine headache which gives the same symptoms you have described…it is usually of unknown cause or a withdrawal symptom of propranololmigraine headache and lightheadedness  first of all drink plenty of water and see a doctor to check your neck and their muscles spines… otherwise you try sleeping well and having enough rest eat fruits and vegetables and try starting to walk daily as an exercise this helps much before you gets migraine…,['have headaches and pain on left side of head and body?'],1.0
should i nap,the question should i nap it really depends if you have a problem falling asleep at night the answer is no there is data to suggest that the last time you were asleep is directly proportional to how long it takes you to fall asleep so if the last time you were asleep was at 230 this afternoon you are probably going to have a pretty tough time falling asleep if you have insomnia as opposed to if it was 630 this morning so if you are an insomniac or you are someone who has a hard time falling asleep i think napping is out however if you are sleep deprived and socially speaking you can only get 6 and a half hours sleep but you really need 7 and a half then a nap during the day may be just the thing for you,[''],1.0
pain when urinating inconsistent urination painfull ejaculation painfull mastrubation etc oh gosh im in all sort of trouble here and its given me anxiety over the past 1 5years ive been having this condition it all began when my urine penis started smelling cheesy after urination then later on when i was laying in bed and rising up i could feel from pelvic area like something is almost pushing my urine out it happened all the time then came premature ejaculation painfull urination painfull mastrubation painfull ejaculation also when i drag back my foreskin pain help please,hi first i need you to role out sebaceous adenoma then i need you to check your testosterone levels i am aware you are a female until then use clindamycin solutionin the morning & isotretinoin 0 025 cream at night good luck,['pain' 'urination' 'ejaculation' 'anxiety' 'penis'],-1.0
is there evidence that statins increase life expectancy for people without heart disease,hi yes ask any doctor they will tell you how great the are then ask them if there that good are they on them they will say no they do not need them there is tons of stuff stating and from doctors that they just are not good for most just to many bad side effects try these links www spacedoc com <link> <link> <link> just copy links into google one at a time to the www to open and read these should help you good luck,['heart disease'],1.0
broken collarbone 3 5 cm overlap its been three weeks after break and still feels broken or loose,i suspect that it is still broke at three weeks and it still may be overlapping collarbones clavicles are notoriously slow to heal especially when the bone is not joined you would need to have another x ray to check the status of your fracture,['collarbone'],1.0
why do i feel lightheaded fatigued and sweat during sleeping no fever  i am an almost 37 yr old female with a lot of stress right now dr put me on effexor and i started not being able to sleep having bad headaches feeling lightheaded and constipated i took it for 2 weeks and he told me to stop when i called him he called me in something else but i am afraid to get it i have been on paxil prozac and celexa and never felt this horrible i have not taken anything in almost a week but feel lightheaded many times thoughout the day any ideas what could be wrong,janumet is a combination product containing januvia and metformin both medications are used to help decrease sugar levels found in blood circulation after eating a meal but by different mechanisms of actions metformin is a generic medication that can be found at several pharmacies on their special pricing lists for one month and three month supplies however januvia is still a brand medication as well as janumet there are plenty of different combinations of diabetes medications that can be used to lower sugar levels however if sugar levels are being maintained with this combination product i would not switch check with your insurance company to see if there is a lower co pay for using januvia versus janumet if so you still can get the same coverage as janumet by taking the two ingredients januvia and metformin there are not medications in the same drug class but there are medications available to help lower sugar levels by a different means of action within the body start by contacting your insurance to see what they cover and at what co pay costs work with your pharmacist and physician to see what will work best for diabetes coverage specific to your husband is needs check around with pharmacies to see if they have different generic lists of medications they cover at a lower cost that may be lower than your insurance lastly talk to your doctor to see if heshe has any co pay assistance cards many brand medications do have an assistance program to aid with co pays ,['stress' 'fever' 'lightheadedness' 'fatigue' 'sweating'],-1.0
i am experiencing a problem keeping an erection are there natural remedies that can be taken for this,there are several natural remedies that claim to improve erectile dysfunction and you are free to try them if you want personally i think they are ineffective so if you really need help ask your medical provider for a prescription while the erectile dysfunction drugs are not natural they will work,['erection'],1.0
i have been having very sharp stabbing pains down through the top rtrear of my head the pain almost knocks me down i have been having these pains for 6 7 weeks i have had no previous head injuries they just started out of the blue they are not headaches they are in  a dime sized spot on top of my head right side just off center back portion top of head does that make any sense these pains happen wether  i am standing or laying down thank you for your time,there are many potential causes to this including a nerve problem given how long it is lasted and the fact that is has not gone away it is time to get your doctor to check you out you need to have an examination by your doctor to determine what follow up tests you may need to get to the bottom of the pain as you said these are not typical headaches and the description of your symptoms does not automatically point to something in particular,['headache' 'head' 'pain' 'head injury'],1.0
what are some warning signs for pregnant women when they are exercising,your body prob got use to the workout that happened to me and i workout with my dad for a while i noticed i was not pushing myself and doing certain things right maybe find a trainer and ask them to show you some pointers that helped me a lot i would not suggest diet pills i do not know why i am against those but i have not found any that does not have a lot of caffeine in it i have read some labels say not to consume any other caffeine from coffee or tea i am a huge coffee drinker maybe you need to cut more things out of your diet maybe you did not take enough things out for instance i was a fast food junky bc i am always busy and i had to stop eating out and that helped me lose more hopefully that helped i am not a professional just speaking based off my personal experience,['pregnancy' 'exercise'],-1.0
i need relief from chronic epididymitis,hi chronic epididymitis is difficult to heal completely especially if the changes are irreversible in your case this seems to be the case thats why its not responding to any treatment symptomatic treatment is the only option thanks,['chronic epididymitis'],1.0
is it better for a type ii diabetic to eat corn or bread stuffing,hi the blood doesnt seem to be arising from any oral ulcers or blisters it seems to be arising from your oesophagus or stomach you should not be neglecting it and immediately consult a doctor drink plenty of fluids get a gastroscopy done to find out the cause of bleed thanks,['diabetes'],-1.0
how effective are male condoms at birth control,condoms are about 85 effective for birth control with careful use they are even more effective keep in mind that the best way to avoid getting pregnant is to not have sex abstinence,['birth control' 'condom'],1.0
guest in my home has scabies do i have house sterilized or will a good cleaning do it we have not had skin contact he is getting treated and i am having a general cleaner come in this afternoon to change linens etc is this sufficient i have never had anything like this in my home somewhat disturbed,that is sufficient unless of course you want to just move and find a new house scabies are human skin parasites they live under the skin and are spread by close direct contact usually not just a casual contact do not freak out the general cleaning and laundry should be fine,['scabies' 'skin'],1.0
how soon should my 14 year old wait before returning to school having been diagnosed with pneumonia,she can go back to school when she feels better and has the energy to tolerate the school experience pneumonia is not contagious,['pneumonia'],1.0
can i have strep without fever  my 4 year old son was diagnosed with strep throat 3 days ago last night i was fine one minute and suddenly felt like i would been hit by a ton of bricks body aches headache  sore throat and general feeling crappy but no fever is there any point in dragging myself out to doctor when i feel so miserable is it possible to have strep without fever i do not have any runny nose stuffy nose or cough not a cold ,in an adult it is not necessary to mount a fever response to strep some people do most people do not so you can still have strep you were certainly exposed assuming your son was correctly diagnosed any chance you can get a strep test some clinicians will just treat symptomatic parental contacts but that would be totally up to the discretion of the clinician,['fever' 'nose' 'strep throat' 'headache' 'runny nose'],1.0
my period only last 36 48 hours which is my norm is that why i have had 2 yrs of no luck getting pregnant  my husband and i have been trying for two years to have a child i am turning 30 next month and in my family after 30 equals issues my normal period is only 36 48 hours could this be preventing me from getting pregnant,it is common to have decrease in stool frequency or constipation after switching from breast milk breastfeeding to formula feed as long as your child is feeding well passing gas from below has no vomiting and has a soft belly there is nothing to worry about it is normal to pass stool once every 2 3 days also you may note change in stool color green after switching to formula feed in this scenario you can try using a cotton q tip cotton swab apply some lubrication on it and stimulate the rectal area to see if your child passes stool if this does not help then try seeing your local pediatrician who can help with rectal stimulation and passage of his stool for further queries consult a paediatrician online   > <link>,['pregnancy' 'family' 'period'],-1.0
i was diagnosed with mononucleosis 7 months ago since then i have not been able to recover,chronic fatigue syndrome is a common complication to ebv infection i recommend you to seek psychological advice,['diagnosed with mononucleosi'],1.0
will my glans burn recover  accidentally i got a very hot water on my penis the water hit a small area of glans and the area under it now rubbing it either by hand or cloths has some sort of annoying feeling i would like to know whether recovery is possible or not if yes please tell me how,hi was it so hot it blistered if so you should go to your er if no blister then there are lots of things to try aloe vera gel 3 or 4 times a day see your chemist for some good burn cream if he or she asks where the burn is just look them straight in the eye and tell them its for your penis see who blush is first have you been icing it ice is very good for burns but not straight from the freezer just soak it in water first then just rub slowly do hope this helps you good luck,['burn' 'penis' 'hand'],1.0
i was curious about anal used mothers sex toy didnt clean it at risk for stds do not think it was used in a while i was curious and i found a vibrator and i used it i put a condom on it but condom broke i got tested for chlamidia and ghonorea both negative do you think i am at risk for hiv or anything else  also i used other sorta home made toys over a year ago and i just got worried i could have done damage to my body have not had any negative symptoms and havnt used them since last year should i be worried everything is normal and during use nothing negative happened like bleeding of anything,hi first as they was not used for some time bugs do die after time and not that long see most of these when they dry they die second and as you have not had any adverse reactions then your ok just relax and enjoy life good luck ps if your still curious about sex toys have a good read on www dodsonandross com there is a section down the left hand side all about sex toys but please do not forget lots of lubrication see lubrication and sex toys is the name of the game ok,['anus' 'condom'],1.0
i take steroid prednisolone for ivfpregnancy due to auto immune issue but i have herpes 2 will this affect baby,i do not think that this dose caused u diabetis… do u have any other troubles like dizziness fatigue palpitation any pain fever… i recommend u to do urine analysis cbc and random blood sugar… not to worry,['ivf/pregnancy due to auto immune issue but i have herpes 2'],-1.0
what is the best moisturizer for older skin,look for products that contain shea butter this is very hydrating to the skin and is great for older dry skin as we age our skin barrier can become more delicate if not properly moisturized our skin can enter into a dry skin cycle to avoid this and to best care for and moisturize older skin it is recommended to use products that contain ingredients such as glycerin and niacinamide which can help to hydrate skin renew the outer layers of skin replenish the natural moisturizing factors and help to repair the moisture barrier,['skin'],1.0
what other than a yeast infection could it be if the medicine does not work and more symptoms start occuring  for a few months now i have had constant vaginal itching and burning and after using yeast infection medicine multiple times it still has not gone away and now blisters have begun forming after looking up genital herpes i have noticed that i have nearly all the symptoms for it but i have yet to have sexual activity could it still be possible or is it something else,hi get yourself off to an stdgum clinic the staff will be really helpful to your problem if its a yeast infection that is gone wrong or an std they will tell you can get you on the right meds for your problem this will help you good luck,['yeast infection' 'vagina' 'burn' 'blister' 'genital herpes'],1.0
spotting on day two of my period could i be pregnant i have had my loop taken out 71015 and have had unprotected sex a few times after that hoping to fall pregnant my period was meant to start 12102015 it now day two on my period and i have only been spotting which is very un usual could i be pregnant,hi the only real way to find out if your pregnant is get to your doctors and have a test done there best way to go good luck,['spotting' 'period' 'pregnancy'],1.0
why will not my penis stay hard when in pregame  i get hard quite easily when around my gf but then all of a sudden when it comes to me taking my jeans off it goes down why  when it does decide to work i really do love sex with her so what is causing this also i can not cum when she tries to give bj,i think you should follow the doctors advice do not take concerta,['penis'],-1.0
i am pregant does everything i wear have to have cotton in it  my boyfriend is sure he read that now that i am pregnant everything i wear has to have at least a percentage of cotton in it i know that my panties should be cotton but i can not find answers about the rest of my wardrobe this is making it difficult to find suitable pants for my work uniform,most helpful answer you can wear anything you want cotton or not cotton undies do help if you are prone to vaginal yeast infections but they are not absolutely necessary when you are pregnant just wear clothing that is comfortable and has room for expansion i am not sure what your boyfriend is reading,['pregnancy'],1.0
is clindamycin effective in treating syphilis,finding an asthma doctorpulmonologist to partner with if he does not already have one may be beneficial what medications is he taking on a routine basis for asthma for some patients with severe allergic asthma xolair may be helpful his doctor will be able to determine whether this is an appropriate possibility for him,['syphilis'],-1.0
my mother underwent an aortic aneurysm repair still has catheter my aunt died of septic poisoning due to a similar event,hi yes that would affect the mechanics of your knee and may alleviate pain of discomfort in the future if your patella was dislocated and you did not make physiotherapy then i strongly recommend kinesiotaping it is perfect for this situation also start physiotherapy in form of ultra sound therapy laser and strength your quadriceps and stretch your hamstrings as well as iliotibial band… thx,['my mother underwent an aortic aneurysm repair'],-1.0
my son had dtap polio chicken pox and mmr vaccines now can barely move,a hemorrhoid is really a varicose vein in the circle of veins around your anal ring they can be inside the anus internal or outside external but not an inch away your mass is something else but it would not be prudent to blindly guess you will need to be examined it could be cyst or even an abscess if it is tender but there are other possibilities get it checked out,['and mmr vaccines now can barely move' 'chicken pox' 'dtap' 'polio'],-1.0
could i possibly be pregnant  last period may 16th unprotected sex on june 9th supposed to start june 16th still have not if you think i am pregnant when should i take a test  side notes  feel as if i start but do not   i was throwing up at 2 am on saturday the 15th i was nauseous the rest of the day   light cramps  the guy i had sex with says he only has a 3 chance of getting someone pregnant  i have been tired lately i also have been having light heartburn i think  if anyone can help me it would be greatly appreciated,anytime that you have unprotected sex you have the possibility of getting pregnant so do not do it and make that guy use a condom no matter what fairy tale story he told you about the 3 chance of getting you pregnant that is baloney do not you know that men lie yes you could be pregnant so you can really take a pregnancy test anytime now but you may need to repeat it again in another week or so if you do not have your period your medical provider can also order a very sensitive blood pregnancy test if you want to increase your accuracy,['sexual intercourse' 'heartburn' 'pregnancy' 'nausea' 'drowsiness'],1.0
is liposuction covered by insurance,though the previous answer is right i want to notice that a few steps have been done in order for covering liposuction and other cosmetic procedures recently baaps british association of aesthetic plastic surgeons decided that insurance for plastic surgery complications is necessary probably in a few years liposuction will be covered by insurance source <link>,['insurance' 'liposuction'],1.0
can you use egg whites on a burn  i read an article that said you can use egg whites to sooth and help heal burns like if you burn yourself with fire but not real bad is this true,a pap smear does not test for endometriosis there is no simple test for endometriosis endometriosis is typically diagnosed based on symptoms of very painful periods and painful intercourse sometimes a procedure called a laparoscopy is performed to confirm and treat endometriosis during this procedure a small camera is inserted through the belly button to look for endometriosis while you are under general anesthesia,['burn' 'egg whites' 'healing'],-1.0
inserting finger into girls vagina leads to pregnancy,no a girl can not get pregnant when a man puts his finger in her vagina his finger does not have sperm coming out of it,['pregnancy' 'finger' 'vagina'],1.0
how long should i wait before bringing my 11 yr old with flu symptoms to our family dr it has been 8 days initial symptoms were nausea high fever severe headache loss of appetite and fatigue those lasted about 2 days now she is very tired little appetite sore bellynausea and has a sore throat and cough,hi so if this was as you say your ovulation day then you should be ok reason any sperm inside you would take 3 days to reach your womb and you egg at best would only last 2 days with you worrying you could have brought on some kind of phantom signs of pregnancy but if you miss you next period do get tested ok good luck,['flu' 'family' 'nausea' 'fever' 'headache'],-1.0
why does coffee give me such an energy boost,may not show up for a while yet,['coffee'],-1.0
pregnant unprotected sex a week before period period came on time and heavy with bad cramps as usual reg 28 day 4 yrs i had unprotected sex a week before my period started he ejaculated awa from me but im worried a little bit may have got it before he pulled out my period came on the dot when it was supposed to get it and was heavy at first then to moderate with bad cramps like i normally have basically my period came on time and was normal in length flow and cramps my periods have been regular for years i do not know when i ovulate or my latueal phase what are my chances of being pregnant,if you had your period   you have no reason to worry plus it is unlikely that you were ovulating at that time a week before your period is well after when you would typically ovulate it is very unlikely that you pregnant,['ejaculation' 'period' 'pregnancy' 'cramps' 'ovulation'],1.0
what reactions are likely after an immunization,getting a stent done is indicated if left main coronary artery stenosis >50 stenosis of proximal lad and proximal circumflex >70 you did not tell which artery has stenosis exactly however if you are having bruising lately i recommend a selective surgery instead of waiting your diet should be modified and if smoking stop,['immunization' 'reaction'],-1.0
are diet pills safe for teenagers if so which ones are,hi sir i assume you are on steroids to treat copd so i recommend you ask your doctor to replace them or stop them i also need testosterone levels testgood luck,['diet pills'],-1.0
i had sex in the 5th week of pregnancy and saw vaginal bleeding why,i had the same thing and still have it and they itch i went to my dermatologist they took a biopsy of one of the sore that was sticking out like a bump when i went back to her she told me i had archival hives probably spelled it wrong they are under your skin and then they start coming out there is nothing you can do for them bot go to a dermatologist they can give you a itch cream and a pill to stop the itching i do not know if that is what you have but it sounds like it only a doctor can tell,['vaginal bleeding'],-1.0
i have an acute dextroscoliosis i feel pain when i skip meals,ur condition can cause you chest pain yes but regarding the pain related to eating where exactly is there any other symptoms respiratory or gastric troubles  back braces will help alot…,['i have an acute dextroscoliosis.'],1.0
would braces close wide gap between front teeth,hi sometimes even a simple gastritis can cause headache but certain intra cranial pathologies also can cause this a ct scan of brain can be done to see if anything is wrong in the brain tissue consult a neurologist,['root canal treatment'],-1.0
i have been feeling extremely exhausted and unable to do basic tasks need advice,i think iron def anemia causes u anxiety aswell no worries ma am just use iron supplements and diet rich with iron – animal sources  and do follow up cbc crp increases in inflammation infection but its not diagnostic it can be high with no reason,[''],1.0
